projectName, groupId, averageLine, variantComplex, distributionComplex, contextComplex, syntacticComplex, instanceNumber
,1220,0.9234972677595629,1.0,1.0,0.0,0.72483409150576,2
,1217,0.9508196721311475,1.0,1.0,0.4243146625442962,0.0,8
,1216,0.9672131147540983,1.0,1.0,0.0,0.0,2
,1215,0.9672131147540983,0.9463946303571862,1.0,0.3954884891037233,1.0,4
,1214,0.9398907103825137,1.0,1.0,0.0,0.864973520717927,2
,1213,0.9234972677595629,1.0,0.0,0.0,0.5118595071429148,2
,1212,0.9453551912568307,1.0,0.0,0.0,0.0,2
,1211,0.9508196721311475,1.0,1.0,0.0,0.0,2
,1210,0.9398907103825137,1.0,1.0,0.0,0.0,3
,1219,0.9672131147540983,0.0,1.0,0.0,0.9463946303571862,2
,1218,0.9672131147540983,1.0,1.0,0.3954884891037233,0.9463946303571862,4
,1231,0.9234972677595629,1.0,0.9463946303571862,0.3717257956726267,0.7896900821428474,8
,1230,0.9562841530054644,1.0,0.0,0.0,0.579380164285695,2
,1228,0.9672131147540983,1.0,0.0,0.0,0.7896900821428474,2
,1,0.9180327868852459,1.0,1.0,0.0,0.0,2
,1227,0.9617486338797814,1.0,0.0,0.0,0.0,2
,2,0.9180327868852459,0.0,1.0,0.0,0.0,2
,1226,0.9289617486338798,1.0,1.0,0.0,0.8812391756396073,2
,3,0.912568306010929,1.0,1.0,0.0,0.0,2
,1225,0.9344262295081968,1.0,1.0,0.0,0.0,2
,4,0.9016393442622951,1.0,1.0,0.0,0.0,2
,1224,0.7814207650273224,1.0,0.9182958340544896,0.3954884891037233,0.6768414907579315,3
,5,0.9180327868852459,1.0,1.0,0.0,0.0,4
,1223,0.9508196721311475,1.0,0.0,0.2019854079986195,0.0,5
,6,0.8797814207650273,1.0,1.0,0.0,0.0,3
,1222,0.9234972677595629,1.0,1.0,0.0,0.6454645236511274,2
,7,0.8743169398907104,1.0,0.0,0.0,0.29590327428938457,2
,1221,0.9016393442622951,1.0,0.0,0.0,0.0,2
,8,0.9344262295081968,0.0,1.0,0.0,0.9372305632161295,2
,800,0.9508196721311475,0.0,1.0,0.0,0.8173454221465102,3
,9,0.907103825136612,1.0,1.0,0.3954884891037233,0.0,4
,801,0.9344262295081968,0.8112781244591328,0.9463946303571862,0.279949419226045,0.34295098019812775,4
,802,0.8852459016393442,0.0,1.0,0.0,0.6567045482143385,2
,803,0.907103825136612,1.0,0.0,0.0,0.0,2
,804,0.6065573770491803,1.0,0.0,0.0,0.0,2
,805,0.9016393442622951,1.0000000000000002,0.3589962496465303,0.30632992473209175,0.0,20
,806,0.9562841530054644,1.0,0.0,0.0,0.0,2
,807,0.9562841530054644,1.0,0.0,0.0,0.0,2
,1229,0.8579234972677596,1.0,0.0,0.0,0.0,2
,808,0.9562841530054644,1.0,0.0,0.0,0.0,2
,809,0.9562841530054644,1.0,0.0,0.0,0.0,2
,1000,0.9617486338797814,1.0000000000000002,0.8763576394898523,0.3493984702822971,1.0,9
,1242,0.8032786885245902,1.0,1.0,0.0,0.0,2
,1241,0.7868852459016393,1.0,0.0,0.0,0.0,3
,1240,0.9398907103825137,1.0,0.9182958340544896,0.3954884891037233,0.527861537140782,3
,1239,0.9562841530054644,1.0,0.0,0.0,0.9463946303571862,2
,1238,0.9672131147540983,1.0,0.0,0.0,0.8508642289005679,2
,1237,0.9508196721311475,1.0,1.0,0.0,0.0,2
,1236,0.9453551912568307,1.0,0.7219280948873623,0.4181656600790516,0.0,5
,1235,0.8852459016393442,1.0,0.9182958340544896,0.3954884891037233,0.8120406807941,3
,1234,0.6885245901639344,1.0,0.0,0.0,0.0,2
,1233,0.9672131147540983,1.0000000000000002,0.0,0.3717257956726267,0.0,7
,810,0.9398907103825137,1.0,0.0,0.0,0.0,3
,1232,0.9672131147540983,1.0,0.0,0.0,0.9141008920185651,2
,811,0.9672131147540983,1.0,0.0,0.0,0.0,2
,812,0.9508196721311475,1.0,0.0,0.0,0.5676751079529516,2
,813,0.907103825136612,1.0,0.0,0.0,0.5723578741833466,2
,814,0.9562841530054644,1.0,0.0,0.0,0.0,3
,815,0.8743169398907104,1.0,0.0,0.0,0.22294491816723944,2
,816,0.8142076502732241,0.0,1.0,0.0,0.22294491816723944,2
,817,0.9398907103825137,0.0,1.0,0.0,0.23422152036528643,2
,818,0.9562841530054644,1.0,0.0,0.0,0.0,2
,819,0.8797814207650273,1.0,0.0,0.0,0.0,2
,1011,0.5191256830601093,1.0,1.0,0.0,0.7605689069275702,3
,1253,0.9289617486338798,1.0,0.0,0.0,0.0,2
,1252,0.9617486338797814,1.0,1.0,0.0,0.0,5
,1010,0.8688524590163934,1.0,0.0,0.0,0.559363613011501,2
,1251,0.9016393442622951,1.0,0.0,0.0,0.0,2
,1250,0.9453551912568307,1.0,0.0,0.0,0.9656336071428249,3
,1008,0.5245901639344263,1.0,1.0,0.0,0.0,2
,1007,0.9453551912568307,1.0,0.0,0.0,0.0,2
,1249,0.9398907103825137,1.0,0.0,0.0,0.905712598013837,2
,1006,0.9453551912568307,1.0,0.0,0.0,0.826074224242703,2
,1248,0.9016393442622951,1.0,0.0,0.0,0.0,2
,1005,0.9562841530054644,1.0,0.0,0.0,0.6309297535714574,2
,1247,0.9289617486338798,1.0,0.0,0.0,0.0,2
,1004,0.9672131147540983,1.0,0.0,0.0,0.6309297535714574,2
,1246,0.7540983606557377,1.0,0.9609640474436811,0.2019854079986195,0.0,5
,1003,0.9672131147540983,1.0,0.0,0.0,0.7896900821428474,2
,1245,0.9508196721311475,1.0,0.0,0.0,0.6309297535714574,2
,820,0.8087431693989071,1.0,0.0,0.0,0.0,2
,1002,0.9672131147540983,1.0,0.0,0.0,1.0,2
,1244,0.9617486338797814,1.0,0.0,0.0,0.0,2
,821,0.9289617486338798,1.0,1.0,0.0,0.0,2
,1001,0.9508196721311475,1.0,1.0,0.0,0.9463946303571862,4
,1243,0.9617486338797814,1.0,0.0,0.0,0.6216097450797566,2
,822,0.8415300546448088,1.0,0.0,0.0,0.5999864653089827,4
,823,0.9289617486338798,1.0,0.0,0.0,0.34295098019812775,2
,824,0.907103825136612,1.0,0.0,0.0,0.22294491816723944,2
,825,0.9016393442622951,1.0,1.0,0.0,0.22294491816723944,2
,826,0.9398907103825137,1.0,0.7219280948873623,0.4181656600790516,0.41011848630651804,5
,827,0.9234972677595629,1.0,1.0,0.3954884891037233,0.8527924884900404,4
,828,0.9344262295081968,1.0,1.0,0.0,0.5966452229439911,2
,829,0.9016393442622951,1.0,1.0,0.0,0.0,2
,1009,0.907103825136612,1.0,1.0,0.0,0.0,2
,1022,0.9617486338797814,1.0,0.0,0.0,0.6223659728744493,2
,1021,0.9508196721311475,1.0,0.0,0.0,0.9770455804590024,3
,1020,0.9672131147540983,1.0,0.0,0.0,0.0,3
,1019,0.9508196721311475,1.0,0.0,0.0,0.45548591500359514,2
,1018,0.8469945355191257,1.0,0.0,0.0,0.45548591500359514,3
,1017,0.9180327868852459,1.0,1.0,0.0,0.4280272187063687,2
,1259,0.9672131147540983,1.0,0.9182958340544896,0.3954884891037233,0.0,3
,1016,0.9617486338797814,0.9463946303571862,1.0,0.43067655807339306,0.0,4
,1258,0.9617486338797814,1.0,0.0,0.0,0.6126016192893442,2
,1015,0.8469945355191257,1.0,0.0,0.0,0.0,2
,1257,0.9617486338797814,1.0,0.0,0.0,0.6309297535714574,2
,830,0.9672131147540983,1.0,1.0,0.0,0.0,2
,1014,0.6174863387978142,1.0,0.0,0.0,0.0,2
,1256,0.9672131147540983,1.0,1.0,0.0,0.6309297535714574,2
,831,0.8907103825136612,1.0,1.0,0.0,0.0,2
,1013,0.9672131147540983,1.0,0.0,0.0,0.9821410328348752,2
,1255,0.9617486338797814,1.0,0.0,0.0,0.0,2
,832,0.9453551912568307,1.0,1.0,0.3954884891037233,0.0,4
,1012,0.9672131147540983,1.0,0.0,0.0,0.0,2
,1254,0.4426229508196722,1.0,0.0,0.0,0.864973520717927,2
,833,0.8524590163934427,1.0,1.0,0.0,0.12360498799464745,2
