complexity(c),c=0, 0<c<=0.1, 0.1<c<=0.2, 0.2<c<=0.3, 0.3<c<=0.4, 0.4<c<=0.5, 0.5<c<=0.6, 0.6<c<=0.7, 0.7<c<=0.8, 0.8<c<=0.9, 0.9<c<1, c=1
, 0.16375198728139906, 0.16375198728139906, 0.16375198728139906, 0.705087440381558, 0.7233704292527822, 0.8434022257551669, 0.9228934817170111, 0.9228934817170111, 0.9475357710651828, 0.9682034976152624, 0.980127186009539, 1.0
total, 0.16375198728139906, 0.16375198728139906, 0.16375198728139906, 0.705087440381558, 0.7233704292527822, 0.8434022257551669, 0.9228934817170111, 0.9228934817170111, 0.9475357710651828, 0.9682034976152624, 0.980127186009539, 1.0
