projName,groupId,vComplexity,dComplexity,crComplexity,sComplexity,insNumber,domain,cloneClass
,1220,1.0,1.0,0.0,0.72483409150576,2,,3
,1217,1.0,1.0,0.4243146625442962,0.0,8,,3
,1216,1.0,1.0,0.0,0.0,2,,2
,1215,0.9463946303571862,1.0,0.3954884891037233,1.0,4,,3
,1214,1.0,1.0,0.0,0.864973520717927,2,,3
,1213,1.0,0.0,0.0,0.5118595071429148,2,,2
,1212,1.0,0.0,0.0,0.0,2,,2
,1211,1.0,1.0,0.0,0.0,2,,2
,1210,1.0,1.0,0.0,0.0,3,,3
,1219,0.0,1.0,0.0,0.9463946303571862,2,,3
,1218,1.0,1.0,0.3954884891037233,0.9463946303571862,4,,3
,1231,1.0,0.9463946303571862,0.3717257956726267,0.7896900821428474,8,,3
,1230,1.0,0.0,0.0,0.579380164285695,2,,2
,1228,1.0,0.0,0.0,0.7896900821428474,2,,3
,1,1.0,1.0,0.0,0.0,2,,2
,1227,1.0,0.0,0.0,0.0,2,,2
,2,0.0,1.0,0.0,0.0,2,,2
,1226,1.0,1.0,0.0,0.8812391756396073,2,,3
,3,1.0,1.0,0.0,0.0,2,,2
,1225,1.0,1.0,0.0,0.0,2,,2
,4,1.0,1.0,0.0,0.0,2,,2
,1224,1.0,0.9182958340544896,0.3954884891037233,0.6768414907579315,3,,3
,5,1.0,1.0,0.0,0.0,4,,3
,1223,1.0,0.0,0.2019854079986195,0.0,5,,3
,6,1.0,1.0,0.0,0.0,3,,3
,1222,1.0,1.0,0.0,0.6454645236511274,2,,3
,7,1.0,0.0,0.0,0.29590327428938457,2,,2
,1221,1.0,0.0,0.0,0.0,2,,2
,8,0.0,1.0,0.0,0.9372305632161295,2,,3
,800,0.0,1.0,0.0,0.8173454221465102,3,,3
,9,1.0,1.0,0.3954884891037233,0.0,4,,3
,801,0.8112781244591328,0.9463946303571862,0.279949419226045,0.34295098019812775,4,,3
,802,0.0,1.0,0.0,0.6567045482143385,2,,3
,803,1.0,0.0,0.0,0.0,2,,2
,804,1.0,0.0,0.0,0.0,2,,2
,805,1.0000000000000002,0.3589962496465303,0.30632992473209175,0.0,20,,3
,806,1.0,0.0,0.0,0.0,2,,2
,807,1.0,0.0,0.0,0.0,2,,2
,1229,1.0,0.0,0.0,0.0,2,,2
,808,1.0,0.0,0.0,0.0,2,,2
,809,1.0,0.0,0.0,0.0,2,,2
,1000,1.0000000000000002,0.8763576394898523,0.3493984702822971,1.0,9,,3
,1242,1.0,1.0,0.0,0.0,2,,2
,1241,1.0,0.0,0.0,0.0,3,,3
,1240,1.0,0.9182958340544896,0.3954884891037233,0.527861537140782,3,,3
,1239,1.0,0.0,0.0,0.9463946303571862,2,,3
,1238,1.0,0.0,0.0,0.8508642289005679,2,,3
,1237,1.0,1.0,0.0,0.0,2,,2
,1236,1.0,0.7219280948873623,0.4181656600790516,0.0,5,,3
,1235,1.0,0.9182958340544896,0.3954884891037233,0.8120406807941,3,,3
,1234,1.0,0.0,0.0,0.0,2,,2
,1233,1.0000000000000002,0.0,0.3717257956726267,0.0,7,,3
,810,1.0,0.0,0.0,0.0,3,,3
,1232,1.0,0.0,0.0,0.9141008920185651,2,,3
,811,1.0,0.0,0.0,0.0,2,,2
,812,1.0,0.0,0.0,0.5676751079529516,2,,2
,813,1.0,0.0,0.0,0.5723578741833466,2,,2
,814,1.0,0.0,0.0,0.0,3,,3
,815,1.0,0.0,0.0,0.22294491816723944,2,,2
,816,0.0,1.0,0.0,0.22294491816723944,2,,2
,817,0.0,1.0,0.0,0.23422152036528643,2,,2
,818,1.0,0.0,0.0,0.0,2,,2
,819,1.0,0.0,0.0,0.0,2,,2
,1011,1.0,1.0,0.0,0.7605689069275702,3,,3
,1253,1.0,0.0,0.0,0.0,2,,2
,1252,1.0,1.0,0.0,0.0,5,,3
,1010,1.0,0.0,0.0,0.559363613011501,2,,2
,1251,1.0,0.0,0.0,0.0,2,,2
,1250,1.0,0.0,0.0,0.9656336071428249,3,,3
,1008,1.0,1.0,0.0,0.0,2,,2
,1007,1.0,0.0,0.0,0.0,2,,2
,1249,1.0,0.0,0.0,0.905712598013837,2,,3
,1006,1.0,0.0,0.0,0.826074224242703,2,,3
,1248,1.0,0.0,0.0,0.0,2,,2
,1005,1.0,0.0,0.0,0.6309297535714574,2,,3
,1247,1.0,0.0,0.0,0.0,2,,2
,1004,1.0,0.0,0.0,0.6309297535714574,2,,3
,1246,1.0,0.9609640474436811,0.2019854079986195,0.0,5,,3
,1003,1.0,0.0,0.0,0.7896900821428474,2,,3
,1245,1.0,0.0,0.0,0.6309297535714574,2,,3
,820,1.0,0.0,0.0,0.0,2,,2
,1002,1.0,0.0,0.0,1.0,2,,3
,1244,1.0,0.0,0.0,0.0,2,,2
,821,1.0,1.0,0.0,0.0,2,,2
,1001,1.0,1.0,0.0,0.9463946303571862,4,,3
,1243,1.0,0.0,0.0,0.6216097450797566,2,,3
,822,1.0,0.0,0.0,0.5999864653089827,4,,3
,823,1.0,0.0,0.0,0.34295098019812775,2,,2
,824,1.0,0.0,0.0,0.22294491816723944,2,,2
,825,1.0,1.0,0.0,0.22294491816723944,2,,2
,826,1.0,0.7219280948873623,0.4181656600790516,0.41011848630651804,5,,3
,827,1.0,1.0,0.3954884891037233,0.8527924884900404,4,,3
,828,1.0,1.0,0.0,0.5966452229439911,2,,2
,829,1.0,1.0,0.0,0.0,2,,2
,1009,1.0,1.0,0.0,0.0,2,,2
,1022,1.0,0.0,0.0,0.6223659728744493,2,,3
,1021,1.0,0.0,0.0,0.9770455804590024,3,,3
