complexity(c),c=0, 0<c<=0.1, 0.1<c<=0.2, 0.2<c<=0.3, 0.3<c<=0.4, 0.4<c<=0.5, 0.5<c<=0.6, 0.6<c<=0.7, 0.7<c<=0.8, 0.8<c<=0.9, 0.9<c<1, c=1
, 0.003179650238473768, 0.42289348171701113, 0.7925278219395866, 0.910174880763116, 0.9546899841017488, 0.9785373608903021, 0.9968203497615262, 1.0, 1.0, 1.0, 1.0, 1.0
total, 0.003179650238473768, 0.42289348171701113, 0.7925278219395866, 0.910174880763116, 0.9546899841017488, 0.9785373608903021, 0.9968203497615262, 1.0, 1.0, 1.0, 1.0, 1.0
