complexity(c),c=0, 0<c<=0.1, 0.1<c<=0.2, 0.2<c<=0.3, 0.3<c<=0.4, 0.4<c<=0.5, 0.5<c<=0.6, 0.6<c<=0.7, 0.7<c<=0.8, 0.8<c<=0.9, 0.9<c<1, c=1
, 0.5524642289348172, 0.5540540540540541, 0.56120826709062, 0.5866454689984102, 0.6081081081081081, 0.6406995230524642, 0.685214626391097, 0.7384737678855327, 0.7972972972972974, 0.8791732909379969, 0.9912559618441972, 1.0
total, 0.5524642289348172, 0.5540540540540541, 0.56120826709062, 0.5866454689984102, 0.6081081081081081, 0.6406995230524642, 0.685214626391097, 0.7384737678855327, 0.7972972972972974, 0.8791732909379969, 0.9912559618441972, 1.0
