groupId,vComplexity,dComplexity,crComplexity,sComplexity,insNumber,cloneClass,fuseE
1217.0,0.42857142857142855,0.42857142857142855,0.18184914109041264,0.0,8.0,3.0,0.25974799955831746
1216.0,0.2857142857142857,0.2857142857142857,0.0,0.0,2.0,2.0,0.14285714285714285
1242.0,0.2857142857142857,0.2857142857142857,0.0,0.0,2.0,2.0,0.14285714285714285
1232.0,0.42857142857142855,0.0,0.0,0.9141008920185651,2.0,3.0,0.33566808014749844
870.0,0.2857142857142857,0.0,0.0,0.2959032742893845,2.0,2.0,0.14540439000091754
871.0,0.2857142857142857,0.0,0.0,0.0,2.0,2.0,0.07142857142857142
872.0,0.42857142857142855,0.0,0.0,0.0,3.0,3.0,0.10714285714285714
873.0,0.42857142857142855,0.0,0.0,0.0,3.0,3.0,0.10714285714285714
874.0,0.42857142857142855,0.0,0.0,0.0,3.0,3.0,0.10714285714285714
875.0,0.42857142857142855,0.0,0.0,0.0,5.0,3.0,0.10714285714285714
663.0,0.0,0.42857142857142855,0.0,0.7865834126456138,2.0,3.0,0.3037887103042606
429.0,0.0,0.2857142857142857,0.0,0.0,2.0,2.0,0.07142857142857142
430.0,0.0,0.2857142857142857,0.0,0.0,2.0,2.0,0.07142857142857142
431.0,0.0,0.42857142857142855,0.0,0.77250688571426,2.0,3.0,0.3002695785714221
432.0,0.0,0.2857142857142857,0.0,0.4684574992810824,2.0,2.0,0.18854294624884202
433.0,0.42857142857142855,0.42857142857142855,0.0,0.8856194615204434,2.0,3.0,0.43569057966582514
434.0,0.0,0.2857142857142857,0.0,0.0,2.0,2.0,0.07142857142857142
435.0,0.0,0.42857142857142855,0.0,0.9656336071428248,2.0,3.0,0.3485512589285633
436.0,0.42857142857142855,0.0,0.0,0.6309297535714574,2.0,3.0,0.2648752955357215
437.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
438.0,0.42857142857142855,0.0,0.0,0.864973520717927,2.0,3.0,0.3233862373223389
440.0,0.2857142857142857,0.2857142857142857,0.0,0.0,2.0,2.0,0.14285714285714285
441.0,0.2857142857142857,0.2857142857142857,0.0,0.0,2.0,2.0,0.14285714285714285
442.0,0.42857142857142855,0.42857142857142855,0.0,0.826074224242703,2.0,3.0,0.42080427034639
207.0,0.42857142857142855,0.42857142857142855,0.0,0.4518565881954043,4.0,3.0,0.32724986133456535
208.0,0.42857142857142855,0.42857142857142855,0.0,0.77250688571426,3.0,3.0,0.40741243571427926
451.0,0.0,0.42857142857142855,0.0,0.9965119062478288,2.0,3.0,0.3562708337048143
452.0,0.0,0.42857142857142855,0.0,0.8699155297736259,2.0,3.0,0.3246217395862636
453.0,0.0,0.42857142857142855,0.0,0.92146324007577,2.0,3.0,0.3375086671617996
454.0,0.0,0.2857142857142857,0.0,0.0,2.0,2.0,0.07142857142857142
1153.0,0.42857142857142855,0.0,0.0,0.3544264344271434,5.0,3.0,0.19574946574964297
318.0,0.39355535745192405,0.42857142857142855,0.0,0.0,3.0,3.0,0.20553169650583814
319.0,0.39355535745192405,0.42857142857142855,0.0,0.0,3.0,3.0,0.20553169650583814
320.0,0.39355535745192405,0.42857142857142855,0.0,0.0,3.0,3.0,0.20553169650583814
321.0,0.42857142857142855,0.42857142857142855,0.0,0.0,3.0,3.0,0.21428571428571427
323.0,0.0,0.42857142857142855,0.0,0.0,5.0,3.0,0.10714285714285714
324.0,0.39355535745192405,0.42857142857142855,0.0,0.0,3.0,3.0,0.20553169650583814
325.0,0.2857142857142857,0.2857142857142857,0.0,0.0,2.0,2.0,0.14285714285714285
326.0,0.4155959570863917,0.42857142857142855,0.13325036017824474,0.0,6.0,3.0,0.24435443645901625
327.0,0.4110633930116763,0.42857142857142855,0.13325036017824474,0.0,6.0,3.0,0.2432212954403374
328.0,0.39355535745192405,0.42857142857142855,0.0,0.0,3.0,3.0,0.20553169650583814
336.0,0.4110633930116763,0.42857142857142855,0.13325036017824474,0.0,6.0,3.0,0.2432212954403374
111.0,0.2857142857142857,0.2857142857142857,0.0,0.0,2.0,2.0,0.14285714285714285
112.0,0.42857142857142855,0.0,0.0,0.2772917256537884,6.0,3.0,0.17646578855630424
113.0,0.2857142857142857,0.0,0.0,0.0,2.0,2.0,0.07142857142857142
114.0,0.42857142857142855,0.42857142857142855,0.16949506675873854,0.0,4.0,3.0,0.2566594809753989
115.0,0.2857142857142857,0.2857142857142857,0.0,0.0,2.0,2.0,0.14285714285714285
116.0,0.42857142857142855,0.42857142857142855,0.0,0.0,3.0,3.0,0.21428571428571427
117.0,0.2857142857142857,0.2857142857142857,0.0,0.0,2.0,2.0,0.14285714285714285
118.0,0.42857142857142866,0.42857142857142866,0.0,0.0,9.0,3.0,0.21428571428571433
119.0,0.42857142857142866,0.42857142857142866,0.0,0.0,7.0,3.0,0.21428571428571433
120.0,0.2857142857142857,0.2857142857142857,0.0,0.0,2.0,2.0,0.14285714285714285
122.0,0.0,0.42857142857142855,0.0,0.7976051012250924,2.0,3.0,0.30654413244913026
123.0,0.42857142857142855,0.0,0.0,0.8527924884900404,2.0,3.0,0.32034097926536725
124.0,0.2857142857142857,0.0,0.0,0.0,2.0,2.0,0.07142857142857142
125.0,0.2857142857142857,0.0,0.0,0.0,2.0,2.0,0.07142857142857142
126.0,0.2857142857142857,0.0,0.0,0.0,2.0,2.0,0.07142857142857142
139.0,0.42857142857142855,0.40559769872450835,0.11997832252544785,0.0,4.0,3.0,0.23853686245534617
140.0,0.42857142857142855,0.4110633930116763,0.10456387045631207,0.0,6.0,3.0,0.23604967300985424
141.0,0.2857142857142857,0.2857142857142857,0.0,0.0,2.0,2.0,0.14285714285714285
142.0,0.2857142857142857,0.2857142857142857,0.0,0.0,2.0,2.0,0.14285714285714285
143.0,0.42857142857142855,0.0,0.0,0.2322547096606925,4.0,3.0,0.16520653455803025
54.0,0.2857142857142857,0.2857142857142857,0.0,0.0,2.0,2.0,0.14285714285714285
